,Name,genus,family,macroarea,longitude,latitude,"81A Order of Subject, Object and Verb",33A Coding of Nominal Plurality,51A Position of Case Affixes,143A Order of Negative Morpheme and Verb,"144A Position of Negative Word With Respect to Subject, Object, and Verb"
8,Abkhaz,Northwest Caucasian,Northwest Caucasian,Eurasia,41.0,43.0833333333,1 SOV,2 Plural suffix,9 No case affixes or adpositional clitics,11 Type 3 / Type 4,20 MorphNeg
34,Arabic (Egyptian),Semitic,Afro-Asiatic,Africa,31.0,30.0,2 SVO,6 Mixed morphological plural,9 No case affixes or adpositional clitics,15 OptDoubleNeg,19 OptDoubleNeg
54,Ainu,Ainu,Ainu,Eurasia,143.0,43.0,1 SOV,2 Plural suffix,9 No case affixes or adpositional clitics,1 NegV,7 SONegV
70,Alamblak,Sepik Hill,Sepik,Papunesia,143.33333333299998,-4.66666666667,1 SOV,8 Plural clitic,6 Postpositional clitics,1 NegV,7 SONegV
89,Amele,Madang,Trans-New Guinea,Papunesia,145.58333333299998,-5.25,1 SOV,6 Mixed morphological plural,9 No case affixes or adpositional clitics,15 OptDoubleNeg,19 OptDoubleNeg
128,Apurinã,Purus,Arawakan,South America,-67.0,-9.0,2 SVO,2 Plural suffix,6 Postpositional clitics,1 NegV,16 More than one position
140,Armenian (Eastern),Armenian,Indo-European,Eurasia,45.0,40.0,7 No dominant order,2 Plural suffix,1 Case suffixes,7 Type 1 / Type 3,16 More than one position
143,Arapesh (Mountain),Kombio-Arapesh,Torricelli,Papunesia,143.16666666700002,-3.46666666667,2 SVO,2 Plural suffix,9 No case affixes or adpositional clitics,15 OptDoubleNeg,19 OptDoubleNeg
153,Asmat,Asmat-Kamoro,Trans-New Guinea,Papunesia,138.5,-5.5,1 SOV,2 Plural suffix,9 No case affixes or adpositional clitics,2 VNeg,8 SOVNeg
183,Awa Pit,Barbacoan,Barbacoan,South America,-78.25,1.5,1 SOV,2 Plural suffix,6 Postpositional clitics,14 ObligDoubleNeg,18 ObligDoubleNeg
201,Bagirmi,Bongo-Bagirmi,Central Sudanic,Africa,16.0,11.666666666700001,2 SVO,8 Plural clitic,9 No case affixes or adpositional clitics,2 VNeg,4 SVONeg
355,Burmese,Burmese-Lolo,Sino-Tibetan,Eurasia,96.0,21.0,1 SOV,7 Plural word,1 Case suffixes,14 ObligDoubleNeg,18 ObligDoubleNeg
372,Basque,Basque,Basque,Eurasia,-3.0,43.0,1 SOV,8 Plural clitic,6 Postpositional clitics,1 NegV,7 SONegV
388,Burushaski,Burushaski,Burushaski,Eurasia,74.5,36.5,1 SOV,2 Plural suffix,1 Case suffixes,3 [Neg-V],20 MorphNeg
431,Chamorro,Chamorro,Austronesian,Papunesia,144.75,13.45,3 VSO,7 Plural word,,1 NegV,9 NegVSO
440,Chukchi,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan,Eurasia,-173.0,67.0,7 No dominant order,2 Plural suffix,1 Case suffixes,1 NegV,21 Other
462,Canela-Krahô,Ge-Kaingang,Macro-Ge,South America,-46.0,-6.0,1 SOV,9 No plural,9 No case affixes or adpositional clitics,2 VNeg,8 SOVNeg
650,English,Germanic,Indo-European,Eurasia,0.0,52.0,2 SVO,2 Plural suffix,9 No case affixes or adpositional clitics,1 NegV,2 SNegVO
