,wals_code,Name,genus,family,macroarea,"81A Order of Subject, Object and Verb",82A Order of Subject and Verb,83A Order of Object and Verb,87A Order of Adjective and Noun,143F Postverbal Negative Morphemes,143E Preverbal Negative Morphemes,143A Order of Negative Morpheme and Verb,143G Minor morphological means of signaling negation
0,aab,Arapesh (Abu),Kombio-Arapesh,Torricelli,,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
7,abi,Abipón,South Guaicuruan,Guaicuruan,South America,2 SVO,1 SV,2 VO,3 No dominant order,4 None,1 NegV,1 NegV,4 None
8,abk,Abkhaz,Northwest Caucasian,Northwest Caucasian,Eurasia,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],2 [Neg-V],11 Type 3 / Type 4,4 None
10,abn,Arabana,Central Pama-Nyungan,Pama-Nyungan,Australia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
12,abu,Abun,North-Central Bird's Head,West Papuan,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,14 ObligDoubleNeg,4 None
13,abv,Abui,Greater Alor,Timor-Alor-Pantar,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
16,ace,Acehnese,Malayo-Sumbawan,Austronesian,Eurasia,7 No dominant order,3 No dominant order,3 No dominant order,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
17,acg,Achagua,Inland Northern Arawakan,Arawakan,South America,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
20,acl,Acholi,Nilotic,Eastern Sudanic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,6 Type 1 / Type 2,4 None
23,aco,Acoma,Keresan,Keresan,North America,7 No dominant order,1 SV,3 No dominant order,3 No dominant order,2 [V-Neg],1 NegV,8 Type 1 / Type 4,4 None
26,adg,Adang,Greater Alor,Timor-Alor-Pantar,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,1 VNeg,1 NegV,15 OptDoubleNeg,4 None
27,adi,Adioukrou,Kwa,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
32,adz,Adzera,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,2 [Neg-V],15 OptDoubleNeg,4 None
34,aeg,Arabic (Egyptian),Semitic,Afro-Asiatic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,2 [V-Neg],3 NegV&[Neg-V],15 OptDoubleNeg,4 None
38,agb,Leggbó,Cross River,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
39,agc,Agta (Central),Greater Central Philippine,Austronesian,Papunesia,3 VSO,2 VS,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
40,agd,Agta (Dupaningan),Greater Central Philippine,Austronesian,Papunesia,3 VSO,2 VS,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
41,agh,Aghem,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,6 Type 1 / Type 2,4 None
43,agm,Angami,Kuki-Chin,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
54,ain,Ainu,Ainu,Ainu,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
56,aja,Aja,Kresh,Central Sudanic,Africa,2 SVO,1 SV,2 VO,1 Adjective-Noun,1 VNeg,4 None,2 VNeg,4 None
57,ajg,Ajagbe,Kwa,Niger-Congo,Africa,7 No dominant order,1 SV,3 No dominant order,2 Noun-Adjective,1 VNeg,1 NegV,6 Type 1 / Type 2,4 None
62,akh,Akha,Burmese-Lolo,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
66,akn,Akan,Kwa,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
70,ala,Alamblak,Sepik Hill,Sepik,Papunesia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
71,alb,Albanian,Albanian,Indo-European,Eurasia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
76,alk,Arop-Lokep,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
78,aln,Alune,Central Malayo-Polynesian,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
82,alw,Alawa,Alawa,Mangarrayi-Maran,Australia,7 No dominant order,3 No dominant order,3 No dominant order,3 No dominant order,4 None,1 NegV,1 NegV,4 None
84,aly,Alyawarra,Central Pama-Nyungan,Pama-Nyungan,Australia,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
86,amb,Ambulas,Middle Sepik,Sepik,Papunesia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],1 NegV,8 Type 1 / Type 4,4 None
87,amc,Amahuaca,Panoan,Panoan,South America,7 No dominant order,3 No dominant order,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
89,ame,Amele,Madang,Trans-New Guinea,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],1 NegV,15 OptDoubleNeg,4 None
90,amh,Amharic,Semitic,Afro-Asiatic,Africa,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],2 [Neg-V],14 ObligDoubleNeg,4 None
93,aml,Ambae (Lolovoli Northeast),Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,14 ObligDoubleNeg,4 None
95,amn,Amanab,Border,Border,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],1 NegV,14 ObligDoubleNeg,4 None
97,amp,Arrernte (Mparntwe),Central Pama-Nyungan,Pama-Nyungan,Australia,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
98,amq,Ambai,South Halmahera - West New Guinea,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
100,ams,Arabic (Modern Standard),Semitic,Afro-Asiatic,Eurasia,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
106,anc,Angas,West Chadic,Afro-Asiatic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
107,ane,Anêm,Anêm,Anêm,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
108,ang,Anggor,Senagi,Senagi,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
109,ani,//Ani,Khoe-Kwadi,Khoe-Kwadi,Africa,7 No dominant order,1 SV,3 No dominant order,1 Adjective-Noun,1 VNeg,4 None,2 VNeg,4 None
110,anj,Anejom,Oceanic,Austronesian,Papunesia,4 VOS,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
115,anu,Anufo,Kwa,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
117,any,Anywa,Nilotic,Eastern Sudanic,Africa,7 No dominant order,3 No dominant order,3 No dominant order,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
118,ao,Ao,Kuki-Chin,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],2 [Neg-V],15 OptDoubleNeg,4 None
119,aoj,Mufian,Kombio-Arapesh,Torricelli,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,14 ObligDoubleNeg,4 None
126,apl,Apalaí,Cariban,Cariban,South America,7 No dominant order,3 No dominant order,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
127,apt,Apatani,Tani,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
128,apu,Apurinã,Purus,Arawakan,South America,2 SVO,1 SV,3 No dominant order,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
130,ara,Arawak,Caribbean Arawakan,Arawakan,South America,2 SVO,3 No dominant order,2 VO,1 Adjective-Noun,1 VNeg,4 None,2 VNeg,4 None
132,arc,Archi,Lezgic,Nakh-Daghestanian,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
134,arg,Arabic (Gulf),Semitic,Afro-Asiatic,Eurasia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
